"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Comets","Comets","Comets","comètes","Kometer","彗星","cometas","Кометы","sao chổi","彗星","comets","혜성","తోక చుక్కలు","धूमकेतु","المذنبات"
"Comet Tail Acceleration Multiplier","Comet Tail Acceleration Multiplier","Kometenschweif Acceleration Multiplier","Queue de comète Accélération multiplicateur","Comet Tail Acceleration Multiplikator","彗尾加速倍增","El cometa de cola de aceleración Multiplicador","Comet Tail Ускорение Multiplier","Đuôi sao chổi Acceleration Multiplier","コメットテール加速乗数","Comet Tail Akselerasjon Multiplier","혜성 꼬리 가속 승수","కామెట్ టైల్ త్వరణం గుణకం","धूमकेतु पूंछ त्वरण गुणक","ذيل المذنب تسريع المضاعف"
"Stellar Flares","Stellar Flares","Stellar Flares","Fusées Stellar","Stellar Flares","恒星耀斑","Las llamaradas estelares","Stellar факелы","Pháo sáng Stellar","ステラフレア","Stellar Flares","스텔라 플레어","నక్షత్ర మంటలు","तारकीय फ्लेयर्स","مشاعل ممتاز"
"Flare Frequency Multiplier","Flare Frequency Multiplier","Flare Frequency Multiplier","Flare multiplicateur de fréquence","Flare frekvensmultiplikator","火炬倍频器","Multiplicador de frecuencia de la llamarada","Flare умножитель частоты","Đuốc Frequency Multiplier","フレア周波数逓倍器","Flare Frequency Multiplier","플레어 주파수 승수","ఫ్లేర్ ఫ్రీక్వెన్సీ గుణకం","भड़कना आवृत्ति गुणक","اشتعال المضاعف التردد"
"Flare Duration Multiplier","Flare Duration Multiplier","Flare Dauer Multiplier","Flare Durée multiplicateur","Flare Varighed Multiplikator","耀斑持续时间乘数","Multiplicador Duración de la llamarada","Flare Продолжительность Multiplier","Multiplier Thời gian bùng phát","フレア期間乗数","Flare Varighet Multiplier","플레어 기간 승수","ఫ్లేర్ వ్యవధి గుణకం","भड़कना अवधि गुणक","اشتعال مدة المضاعف"
"Tides","Tides","Gezeiten","Tides","Tides","潮汐","mareas","приливы","Thủy triều","タイズ","Tides","조수","టైడ్స్","ज्वार","المد والجزر"
"Tidal Heating","Tidal Heating","Tidal Heizung","chauffage de marée","Tidal Varme","潮汐加热","calentamiento de marea","Приливные отопления","triều Sưởi","潮汐加熱","Tidal Oppvarming","갯벌 난방","ఆటుపోట్లు వేడి","ज्वारीय उष्मीकरण","التدفئة المد والجزر"
"Bodies heat through friction when they are deformed by tidal forces","Bodies heat through friction when they are deformed by tidal forces","Körper Wärme durch Reibung, wenn sie durch die Gezeitenkräfte verformt","Organismes chaleur par friction quand ils sont déformés par les forces de marée","Organer varme ved friktion, når de er blevet deformeret af tidevands kræfter","体加热通过摩擦当它们被潮汐力变形","Cuerpos de calor a través de la fricción cuando se deforman por las fuerzas de marea","Тела тепла в результате трения, когда они деформируются приливными силами","Cơ quan làm nóng thông qua ma sát khi họ đang bị biến dạng bởi lực lượng thủy triều","彼らは潮汐力によって変形されたときに体が摩擦によって熱","Organer varme gjennom friksjon når de er deformert ved tidevannskreftene","이들은 조력 힘에 의해 변형 될 때 바디는 마찰을 통해 가열","వారు అటుపోటు శక్తుల ద్వారా వికృతాకారము చేసినప్పుడు బాడీస్ ఘర్షణ ద్వారా వేడి","निकायों घर्षण के माध्यम गर्मी जब वे ज्वारीय बलों द्वारा विकृत कर रहे हैं","الهيئات الحرارة من خلال الاحتكاك عندما يتم مشوه من قبل قوى المد والجزر"
"Tidal Heating Multiplier as Log","Tidal Heating Multiplier as Log","Tidal Heizung Multiplier als Login","Tidal chauffage multiplicateur Connexion","Tidal Varme Multiplikator som Log","潮汐加热乘数为日志","Tidal Calefacción Multiplicador como log","Приливные отопления тиражирования в Вход","Triều Sưởi Multiplier như Log","ログとして潮汐加熱乗数","Tidal Oppvarming Multiplier som Log","로그로 갯벌 난방 승수","లోనికి ప్రవేశించండి వంటి ఆటుపోట్లు వేడి గుణకం","लॉग के रूप में ज्वार ताप गुणक","المد والجزر التدفئة المضاعف كما سجل"
"Multiply the effect of tidal heating","Multiply the effect of tidal heating","Multiplizieren Sie die Wirkung der Gezeitenheizung","Multiplier l'effet de chauffage de marée","Multiplicer effekten af tidevandsenergi opvarmning","乘潮汐加热的效果","Multiplicar el efecto de calentamiento de marea","Умножить эффект приливного нагрева","Nhiều lần tác động của hệ thống sưởi triều","潮の加熱の影響を掛け","Doble effekten av tidevannsoppvarming","조석 가열의 효과를 곱","ఆటుపోట్లు వేడి ప్రభావం గుణకారం","ज्वारीय उष्मीकरण के प्रभाव गुणा","مضاعفة تأثير التسخين المد والجزر"
"Coming in a Future Update","Coming in a Future Update","Kommen in einem zukünftigen Update","Mise à jour à venir dans un avenir","Kommer i en fremtidig opdatering","即将在未来的更新","Que vendrá en una actualización futura","Далее в обновлении будущего","Sắp tới trong một tương lai Cập nhật","将来のアップデートで来ます","Kommer i en fremtidig oppdatering","향후 업데이트에 오는","ఒక ఫ్యూచర్ అప్డేట్ వస్తున్న","में एक भविष्य अद्यतन आ रहा है","القادمة في تحديث المستقبل"
"Tidal Evolution","Tidal Evolution","Tidal Entwicklung","Evolution de marée","Tidal Evolution","潮汐演进","Evolución de las mareas","Приливные Evolution","Sự tiến hóa thủy triều","潮汐進化","Tidal Evolution","조력 발전","టైడల్ ఎవల్యూషన్","ज्वार विकास","تطور المد والجزر"
"The orbit and rotation of a body is affected by tidal forces","The orbit and rotation of a body is affected by tidal forces","Die Umlaufbahn und Rotation eines Körpers wird durch die Gezeitenkräfte betroffen","L'orbite et la rotation d'un corps est affecté par les forces de marée","Det kredsløb og rotation af et legeme påvirkes af tidevands kræfter","身体的轨道和旋转受到潮汐力","La órbita y la rotación de un cuerpo se ve afectada por las fuerzas de marea","Орбита и вращение тела зависят от приливных сил","Quỹ đạo và chuyển động quay của một cơ thể bị ảnh hưởng bởi lực lượng thủy triều","体の軌道と回転は潮汐力の影響を受けています","Den bane og rotasjon av et legeme påvirkes av tidevannskrefter","몸의 궤도 및 회전은 조수의 힘에 의해 영향을 받는다","ఒక శరీరం యొక్క కక్ష్య మరియు భ్రమణ అటుపోటు శక్తుల ద్వారా ప్రభావితమవుతుంది","कक्षा और एक शरीर के रोटेशन ज्वारीय बल से प्रभावित होता है","يتأثر المدار والدوران من الجسم عن طريق قوى المد والجزر"
"Tidal Evolution Multiplier","Tidal Evolution Multiplier","Tidal Entwicklung Multiplier","Tidal Evolution multiplicateur","Tidal Evolution Multiplikator","潮汐演进乘数","Evolución de las mareas Multiplicador","Приливные Evolution Multiplier","Thủy triều tiến hóa Multiplier","潮汐進化乗数","Tidal Evolution Multiplier","조력 발전 승수","టైడల్ ఎవల్యూషన్ గుణకం","ज्वार विकास गुणक","المد والجزر تطور المضاعف"
"Multiply the effect of tidal evolution","Multiply the effect of tidal evolution","Multiplizieren Sie die Wirkung der Gezeiten Evolution","Multipliez l'effet de l'évolution des marées","Multiplicer effekten af tidevandsenergi evolution","乘潮演变的影响","Multiplicar el efecto de la evolución de las mareas","Умножить эффект приливной эволюции","Nhiều lần tác động của quá trình tiến hóa thủy triều","潮の進化の影響を掛け","Multipliser effekten av tidevanns evolusjon","조력 발전의 효과를 곱하면","వేలా పరిణామం ప్రభావం గుణకారం","ज्वार विकास के प्रभाव को गुणा करें","مضاعفة تأثير تطور المد والجزر"
"Universal Drag","Universal Drag","Universal-Drag","Faites glisser Universal","Universal Drag","通用将","Arrastre universal","Универсальный Drag","Kéo phổ","ユニバーサルドラッグ","Universal Drag","유니버설 드래그","యూనివర్సల్ డ్రాగ్","यूनिवर्सल खींचें","سحب العالمي"
"Totally fake effect - as if there were atmosphere everywhere to cause drag","Totally fake effect - as if there were atmosphere everywhere to cause drag","Völlig falsche Wirkung - als gäbe es überall Atmosphäre um den Luftwiderstand verursachen","Totalement faux effet - comme se il y avait une atmosphère partout pour causer de la résistance","Fuldstændig falsk virkning - som om der var stemning overalt at forårsage træk","全假的效应 - 因为如果有气氛无处不造成拖累","efecto totalmente falso - como si no hubiera atmósfera en todas partes para causar arrastre","Полностью поддельный эффект - как будто бы атмосфера везде вызвать сопротивление","tác dụng hoàn toàn giả - như thể có bầu không khí ở khắp mọi nơi để gây kéo","完全フェイク効果 - ドラッグを引き起こすどこでも雰囲気があったかのように","Helt falsk effekt - som om det var stemning overalt for å forårsake drag","완전히 가짜 효과 - 분위기가있는 것처럼 사방 저항을 야기하기","పూర్తిగా నకిలీ ప్రభావం - వాతావరణంలో ఉన్నట్లయితే ప్రతిచోటా డ్రాగ్ కారణం","पूरी तरह से नकली प्रभाव - के रूप में अगर वहाँ माहौल थे हर जगह खींचें पैदा करने के लिए","تأثير وهمية تماما - كما لو كان هناك جو في كل مكان لإحداث السحب"
"Drag Reference Frame","Drag Reference Frame","Ziehen Sie die Reference Frame","Faites glisser Cadre de référence","Træk referenceramme","拖动参考框架","Marco de Referencia arrastre","Перетащите референцную","Kéo Khung tham khảo","ドラッグ基準フレーム","Dra Reference Frame","드래그 참조 프레임","సూచన ఫ్రేమ్ డ్రాగ్","खींचें संदर्भ फ्रेम","السحب المرجعي الإطار"
"Density of Space","Density of Space","Density of Space","Densité de l'espace","Densitet af Space","空间密度","Densidad del Espacio","Плотность пространства","Mật độ của vũ trụ","空間の密度","Tetthet av Space","우주의 밀도","స్పేస్ సాంద్రత","अंतरिक्ष का घनत्व","كثافة الفضاء"
"Drag Coefficient","Drag Coefficient","Luftwiderstandsbeiwert","Coefficient de traînée","vindmodstand","风阻系数","Coeficiente de arrastre","Коэффициент сопротивления","Hệ số kéo","抗力係数","luftmotstandskoeffisient","항력 계수","గుణకం డ్రాగ్","खींचें गुणांक","معامل السحب"
"Actions","Actions","Aktionen","actes","handlinger","操作","Comportamiento","действия","Hoạt động","行動","handlinger","행위","చర్యలు","क्रिया","أفعال"
"Reverse All Velocities","Reverse All Velocities","Umkehren Alle Geschwindigkeiten","Inverser toutes les vitesses","Reverse Alle Hastigheder","反向所有力度","Invertir todas las velocidades","Реверс всех скоростей","Xếp Tất cả các vận tốc","すべての速度をリバース","Omvendt Alle Hastigheter","모든 속도를 역방향","అన్ని వేగాలు రివర్స్","सभी वेग रिवर्स","عكس جميع السرعات"
"Halt All Velocities","Halt All Velocities","Halt Alle Geschwindigkeiten","Arrêter toutes les vitesses","Standse Alle Hastigheder","暂停所有力度","Detener todas las velocidades","Прекратить все скорости","Ngăn chặn tất cả các vận tốc","すべての速度を停止","Halt Alle Hastigheter","모든 속도를 중지","అన్ని వేగాలు నిలుచుట","सभी वेग हॉल्ट","وقف جميع السرعات"
"Halt All Rotations","Halt All Rotations","Halt Alle Rotationen","Arrêter toutes les rotations","Standse Alle Rotationer","暂停所有旋转","Detener todas las rotaciones","Стой Все Ротации","Ngăn chặn tất cả Xoay","すべての回転を停止し","Halt Alle Rotations","모든 회전을 중지","అన్ని భ్రమణాలు నిలుచుట","सभी घुमाव हॉल्ट","وقف جميع دوران"
"+2% All Velocities","+2% All Velocities","+ 2% Alle Geschwindigkeiten","+ 2% toutes les vitesses","+ 2% Alle Hastigheder","+ 2％所有力度","+ 2% todas las velocidades","+ 2% всех скоростей","+ 2% Tất cả các vận tốc","+ 2％のすべてのベロシティ","+ 2% Alle Hastigheter","+ 2 % 전체 속도","+ 2% అన్ని వేగాలు","+ 2% सभी वेग","+ 2٪ جميع السرعات"
"-2% All Velocities","-2% All Velocities","-2% Alle Geschwindigkeiten","-2% Toutes les vitesses","-2% Alle Hastigheder","-2％所有力度","-2% todas las velocidades","-2% всех скоростей","-2% Tất cả các vận tốc","-2％のすべてのベロシティ","-2% Alle Hastigheter","-2 % 모든 속도","-2% అన్ని వేగాలు","-2% सभी वेग","-2٪ جميع السرعات"
"+2% All Rotations","+2% All Rotations","+ 2% Alle Rotationen","+ 2% toutes les rotations","+ 2% Alle Rotations","+ 2％所有旋转","+ 2% todas las rotaciones","+ 2% Все Повороты","+ 2% Tất cả Xoay","+ 2％のすべてのローテーション","+ 2% Alle Rotations","+ 2 %의 모든 회전 수","+ 2% అన్ని భ్రమణాలు","+ 2% सभी घुमाव","+ 2٪ جميع دوران"
"-2% All Rotations","-2% All Rotations","-2% Alle Rotationen","-2% Toutes les rotations","-2% Alle Rotationer","-2％所有旋转","-2% todas las rotaciones","-2% Все Повороты","-2% Tất cả Xoay","-2％のすべてのローテーション","-2% Alle Rotations","-2 % 모든 회전 수","-2% అన్ని భ్రమణాలు","-2% सभी घुमाव","-2٪ جميع دوران"
"Balance Simulation Momentum","Balance Simulation Momentum","Balance Simulation Momentum","Solde Simulation Momentum","Balance Simulation Momentum","平衡仿真动量","Momentum simulación de balance","Баланс Моделирование Momentum","Momentum mô phỏng cân bằng","バランスシミュレーション勢い","Balance Simulering Momentum","밸런스 시뮬레이션 모멘텀","సంతులనం అనుకరణ ద్రవ్యవేగ","शेष राशि सिमुलेशन गति","التوازن محاكاة الزخم"
"Delete All Particles/Dust","Delete All Particles/Dust","Löschen aller Partikel / Staub","Supprimer toutes les particules / poussières","Slet alle partikler / støv","删除所有粒子/尘埃","Eliminar todas las partículas / polvo","Удалить все частицы / пыль","Xóa tất cả Particles / Bụi","すべての粒子/ダストを削除します。","Slett alle partikler / støv","모든 입자를 삭제 / 먼지","అన్ని పార్టికల్స్ తొలగించు / డస్ట్","सभी कणों को हटा दें / धूल","حذف جميع الجسيمات / الغبار"
"Delete All Fragments","Delete All Fragments","Löschen aller Fragmente","Supprimer tous les fragments","Slet alle Fragmenter","删除所有片段","Eliminar todos los fragmentos","Удалить все фрагменты","Xóa tất cả Những mảnh vỡ","すべてのフラグメントを削除します。","Slett alle Fragments","모든 조각 삭제","అన్ని శకలాలు తొలగించు","सभी टुकड़े को हटाएँ","حذف جميع أجزاء"
"Delete All Trail Data","Delete All Trail Data","Alle löschen Trail Daten","Supprimer tout Trail données","Slet alle Trail data","删除所有跟踪数据","Eliminar todo rastro de datos","Удалить все данные Trail","Xóa tất cả dữ liệu Trail","すべてのトレイルのデータを削除します。","Slett alle Trail data","모든 트레일 데이터 삭제","అన్ని ట్రైల్ డేటాను తొలగించు","हटाएँ सभी ट्रेल डाटा","حذف كل البيانات تريل"
"Auto Orbit","Auto Orbit","Auto Orbit","Orbit Auto","Auto Orbit","自动轨道","Orbit Auto","Авто Orbit","tự động Orbit","オート軌道","Auto Orbit","자동 궤도","ఆటో ఆర్బిట్","ऑटो ऑर्बिट","أوربت السيارات"
"Focus on Center Body","Focus on Center Body","Konzentrieren Sie sich auf Mitte Körper","Focus sur Body Centre","Fokus på center Krop","专注于中心体","Centrarse en cuerpo central","Сосредоточиться на центр Body","Tập trung vào Trung tâm Body","中心体に焦点を当てます","Fokus på Senter Body","센터 바디에 초점","సెంటర్ శరీర దృష్టి","केंद्र शरीर पर ध्यान दें","التركيز على مركز الجسم"
"Expand - Not in Steam","Expand - Not in Steam","Erweitern Sie - nicht im Dampf","Développer - Pas dans vapeur","Udvid - Ikke i Steam","展开 - 而不是蒸汽","Ampliar - No en vapor","Expand - Не пара","Mở rộng - Không có trong hơi","展開 - 未スチームで","Utvid - Ikke i Steam","확장 - 아니 스팀에","విస్తరించు - నాట్ ఆవిరి లో","विस्तृत करें - स्टीम में नहीं","توسيع - ليست في البخار"
"Shrink - Not in Steam","Shrink - Not in Steam","Shrink - Nicht im Dampf","Shrink - Pas dans vapeur","Shrink - Ikke i Steam","收缩 - 而不是蒸汽","Shrink - No en vapor","Shrink - Не пара","Shrink - Không có trong hơi","シュリンク - 未スチームで","Shrink - Ikke i Steam","축소 - 아니 스팀에","కుదించు - నాట్ ఆవిరి లో","सिकोड़ें - स्टीम में नहीं","يتقلص - ليس في البخار"
"Stats","Info & Stats","Info & Statistiken","Statistiques","Stats","信息与统计","Información y Estadísticas","Информация и статистика","Thông tin & Thống kê","情報＆統計","Info og statistikk","정보 및 통계","సమాచారం & గణాంకాలు","जानकारी और आँकड़े","معلومات واحصائيات"
"Body Count","Body Count","Zählung der Toten","Body Count","Body Count","死亡人数","Número de muertos","Подсчет убитых","Đếm cơ thể","死者数","Antall døde","바디 카운트","బాడీ కౌంట్","बोडी काउंट","عدد الجثث"
"Simulated","Simulated","simuliert","simulé","Simuleret","模拟","Simulado","симулированный","giả vờ","シミュレー","simulert","가장 한","అనుకరించిన","नकली","متصنع"
"NonSimulated","NonSimulated","NonSimulated","NonSimulated","NonSimulated","非模拟","NonSimulated","NonSimulated","NonSimulated","NonSimulated","NonSimulated","NonSimulated","NonSimulated","NonSimulated","NonSimulated"
"Attracting","Attracting","Gewinnung","attirer","tiltrækning","吸引","Atraer","Привлечение","Thu hút","誘致","Tiltrekke","유치","ఆకర్షించడం","को आकर्षित","جذب"
"NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting","NonAttracting"
"Star Count","Star Count","Anzahl Sterne","Compter les étoiles","stjerne Count","恒星计数","Conde estrellas","Star Count","Đếm sao","スターカウント","stjerne~~POS=TRUNC Count","스타 카운트","స్టార్ కౌంట్","स्टार गणना","عدد النجوم"
"Mass","Mass","Masse","masse","Mass","块","Masa","масса","Khối lượng","質量","Masse","질량","మాస్","सामूहिक","كتلة"
"Velocity","Velocity","Geschwindigkeit","vitesse","Velocity","速度","Velocidad","Скорость","Velocity","速度","Hastighet","속도","వేగం","वेग","● السرعة"
"Momentum","Momentum","Schwung","élan","Momentum","动量","Impulso","инерция","Đà","弾み","momentum","기세","ఊపందుకుంటున్నది","गति","قوة الدفع"
"General","General","General","général","Generelt","一般","General","Генеральная","Chung","一般的な","Generell","일반","జనరల్","सामान्य","جنرال لواء"
"Show Trail","Show Trail","Trail anzeigen","Afficher Trail","Vis Trail","显示步道","Mostrar Trail","Показать маршрут","Hiện Trail","ショートレイル","Vis Trail","쇼 트레일","షో ట్రైల్","दिखाएँ ट्रेल","مشاهدة تريل"
"Show Orbit","Show Orbit","Orbit anzeigen","Afficher Orbit","Vis Orbit","显示轨道","Mostrar Orbit","Показать Orbit","Hiện Orbit","表示オービット","Vis Orbit","쇼 궤도","ఆర్బిట్ షో","दिखाएँ ऑर्बिट","مشاهدة أوربت"
"Name","Name","Name","nom","navn","名称","Nombre","имя","Tên","名","Navn","이름","పేరు","नाम","اسم"
"Radius","Radius","Radius","rayon","Radius","半径","Radio","Радиус","Radius","半径","Radius","반지름","వ్యాసార్ధం","त्रिज्या","نصف القطر"
"Density","Density","Dichte","densité","Density","密度","Densidad","плотность","Tỉ trọng","密度","tetthet","밀도","సాంద్రత","घनत्व","كثافة"
"Age","Age","Alter","âge","Alder","年龄","Años","Возраст","Tuổi tác","年齢","Alder","나이","వయసు","आयु","عمر"
"Surface Temperature","Surface Temperature","Oberflächentemperatur","Température de surface","Surface Temperature","表面温度","Temperatura de la superficie","Температура поверхности","Nhiệt độ bề mặt","表面温度","overflatetemperatur","표면 온도","ఉపరితల ఉష్ణోగ్రత","सतह तापमान","الحرارة السطحية"
"Surface temperature of the body","Surface temperature of the body","Die Oberflächentemperatur des Körpers","La température de surface du corps","Overfladetemperaturen af kroppen","所述主体的表面温度","Temperatura de la superficie del cuerpo","Температура поверхности тела","nhiệt độ bề mặt của cơ thể","体の表面温度","Overflatetemperaturen til legemet","본체의 표면 온도","శరీరం యొక్క ఉపరితల ఉష్ణోగ్రత","शरीर की सतह के तापमान","درجة حرارة سطح الجسم"
"Total Velocity","Total Velocity","Total Velocity","vitesse totale","Total Velocity","总速度","la velocidad total","Общая скорость","Tổng Velocity","合計速度","total Velocity","총 속도","మొత్తం వెలాసిటీ","कुल वेग","مجموع السرعة"
"Relative Total Velocity","Relative Total Velocity","Relative Total Velocity","Vitesse relative totale","Relativ Total Velocity","相对总速度","La velocidad total relativa","Относительная Total Velocity","Tương đối Tổng Velocity","相対速度の合計","Relativ Total Velocity","상대 총 속도","బంధువులు మొత్తం వెలాసిటీ","सापेक्ष कुल वेग","النسبية مجموع السرعة"
"Relative Body","Relative Body","Relative Körper","corps relative","Relativ Krop","相对身体","cuerpo relativa","Относительное тело","Body tương đối","相対ボディ","relativ Body","상대 바디","బంధువులు శరీర","सापेक्ष शरीर","الجسم النسبي"
"Orbital Parent","Orbital Parent","Orbital Eltern","Parent Orbital","Orbital Parent","轨道父","Padres orbital","Орбитальный родитель","Chánh Orbital","軌道親","orbital Parent","궤도 부모","కక్ష్య మాతృ","कक्षीय जनक","الوالد المداري"
"The body that this body orbits","The body that this body orbits","Der Körper, dass diese Körperbahnen","Le corps que ce corps orbites","Kroppen, at dette organ baner","身体，这个身体轨道","El cuerpo que orbita este cuerpo","Тело, что это тело орбиты","Cơ thể rằng đây quỹ đạo cơ thể","ボディ、このボディ軌道","Kroppen at denne kroppen baner","몸이이 몸의 궤도","శరీరం ఈ శరీరం కక్ష్యలు","शरीर है कि इस शरीर कक्षाओं","الهيئة أن هذه الهيئة مدارات"
"Rotational Period","Rotational Period","Drehzeit","Période de rotation","Roterende Periode","自转周期","Periodo de rotación","Период вращения","Thời gian quay","回転周期","rotasjons~~POS=TRUNC","회전 기간","భ్రమణ వ్యవధి","घूर्णी अवधि","فترة التناوب"
"Amount of time it takes for this body to spin once","Amount of time it takes for this body to spin once","Menge an Zeit, die für diese Stelle noch einmal drehen","Montant de temps qu'il faut pour ce corps de tourner une fois","Den tid det tager for dette organ til at spinde en gang","的时间花费这身旋转一次","Cantidad de tiempo que toma para que este cuerpo para hacer girar una vez","Количество времени, которое требуется для этого тела, чтобы спина раз","Lượng thời gian cần thiết cho cơ thể này để quay một lần","それが一度にスピンし、このボディのにかかる時間","Hvor lang tid det tar for kroppen å spinne en gang","이 몸이 한 번 회전 할 때의 금액이 소요","సమయం మొత్తం ఈ శరీరం కోసం ఒకసారి స్పిన్ అది పడుతుంది","समय की राशि इसके लिए यह शरीर एक बार स्पिन पर ले जाता है","مقدار الوقت الذي يستغرقه لهذه الهيئة لتدور مرة واحدة"
"Position Lock","Position Lock","Position Lock","Position Lock","Position Lock","位置锁定","posición de bloqueo","Положение блокировки","Chức Khóa","位置ロック","posisjon Lock","위치 잠금","స్థానం లాక్","स्थिति ताला","موقف قفل"
"Tidally Lock","Tidally Lock","Gezeitenkräfte Sperre","marées verrouillage","Tidally Lock","潮汐力锁定","Bloqueo de las mareas","приливно замок","thủy triều Khóa","潮汐ロック","tidally Lock","조석 잠금","Tidally లాక్","Tidally ताला","Tidally قفل"
"Display Settings","Display Settings","Anzeigeeinstellungen","Paramètres d'affichage","Skærmindstillinger","显示设置","Configuración de pantalla","Настройки отображения","Cài đặt hiển thị","ディスプレイの設定","Skjerminnstillinger","화면 설정","డిస్ ప్లే సెట్టింగులు","प्रदर्शन सेटिंग्स","اعدادات العرض"
"Hide Rotation","Hide Rotation","ausblenden Rotation","Cacher rotation","Skjul Rotation","隐藏旋转","Ocultar Rotación","Скрыть Rotation","Hide Rotation","ローテーションを隠します","skjule Rotasjon","회전 숨기기","భ్రమణ దాచు","रोटेशन छुपाएं","إخفاء دوران"
"Display Mode","Display Mode","Anzeigemodus","Mode d'affichage","Display Mode","显示模式","Modo de visualización","Режим отображения","Chế độ hiển thị","ディスプレイモード","Visningsmodus","디스플레이 모드","ప్రదర్శన మోడ్","प्रदर्शन प्रणाली","وضع العرض"
"DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags","DisplayFlags"
"Axis","Axis","Achse","axe","Axis","轴","Eje","Ось","trục","軸","Akser","중심선","యాక్సిస్","एक्सिस","محور"
"Obliquity","Obliquity","Schiefe","obliquité","skævhed","倾角","Oblicuidad","косое","tính xiên","斜行","obliquity","경사","వంకర","तिरछापन","ميل"
"Angle between rotation axis and orbital plane","Angle between rotation axis and orbital plane","Winkel zwischen Drehachse und Bahnebene","Angle entre l'axe de rotation et le plan orbital","Vinkel mellem rotationsaksen og baneplan","旋转轴与轨道面之间的角度","Ángulo entre el eje de rotación y el plano orbital","Угол между осью вращения и плоскостью орбиты","Góc giữa trục xoay và mặt phẳng quỹ đạo","回転軸と軌道面との間の角度","Vinkelen mellom rotasjonsaksen og baneplan","회전축과 궤도면 사이의 각도","భ్రమణ అక్షం మరియు కక్ష్య విమానం మధ్య కోణం","रोटेशन धुरी और कक्षीय तल के बीच के कोण","الزاوية بين محور الدوران والطائرة المدارية"
"Argument of Obliquity","Argument of Obliquity","Argument von Obliquity","Argument d'obliquité","Argument for skævhed","倾角的参数","Argumento de oblicuidad","Довод наклонения","Đối số của độ nghiêng","傾角の引数","Argumentet obliquity","조사 각도의 인수","వంకర వాదన","तिरछापन के तर्क","حجة الإعوجاج"
"Defines where in the orbit the rotation axis points","Defines where in the orbit the rotation axis points","Legt fest, wo in der Umlaufbahn die Drehachse Punkte","Définit où dans l'orbite des points de l'axe de rotation","Definerer hvor i kredsløb rotationsaksen point","定义了在轨道上旋转轴分","Define donde en la órbita de los puntos del eje de rotación","Определяет, где на орбите точки оси вращения","Xác định nơi trong quỹ đạo điểm xoay trục","ここで、軌道の回転軸ポイント定義","Definerer der i banen rotasjonsaksen punktene","궤도에 위치를 정의 회전축 포인트","కక్ష్య లో పేరు నిర్వచిస్తుంది భ్రమణ అక్షానికి పాయింట్లు","कक्षा में जहां परिभाषित करता है रोटेशन धुरी अंक","يحدد مكان في مدار نقطة محور دوران"
"Orbital Elements","Orbital Elements","Orbital Elements","Orbital Elements","Baneparameter","轨道要素","Elementos orbitales","Орбитальные элементы","Orbital Elements","軌道要素","orbital Elements","궤도 요소","కక్ష్య ఎలిమెంట్స్","कक्षीय तत्वों","المداري عناصر"
"Semi-Major Axis","Semi-Major Axis","Große Halbachse","Semi-Major Axis","Halve storakse","半长轴","Semieje mayor","Большая полуось","Semi-Major Axis","半長形","Halvakse","긴 반지름","పెద్ద కక్ష","सेमीमेजर एक्सिस","نصف المحور الرئيسي"
"The typical distance from the orbital parent body","The typical distance from the orbital parent body","Der typische Abstand von der Orbital Grundkörper","La distance caractéristique de l'organe dont orbital","Den typiske afstand fra orbital moderorganet","从眶母体的典型距离","La distancia típica de la empresa matriz orbital","Типичное расстояние от орбиты родительского тела","Khoảng cách điển hình từ cơ thể mẹ quỹ đạo","軌道母体からの典型的な距離","Den typiske avstand fra banens overordnede organ","궤도 모체에서 일반적인 거리","కక్ష్య మాతృ శరీరం నుండి విలక్షణ దూరం","कक्षीय माता पिता के शरीर से ठेठ दूरी","المسافة نموذجية من الهيئة الأم المداري"
"Eccentricity","Eccentricity","Exzentrizität","excentricité","excentricitet","怪癖","Excentricidad","эксцентричность","người kỳ dị","偏心","eksentrisitet","이심률","వైపరీత్యము","सनक","غرابة"
"How circular (0) to not circular (1) the orbit is","How circular (0) to not circular (1) the orbit is","Wie kreisförmig (0) in den nicht kreisförmigen (1) der Bahn ist","Comment circulaire (0) de ne pas circulaire (1) l'orbite est","Hvor cirkulære (0) til ikke cirkulære (1) kredsløb er","如何圆形（0）到不是圆形的（1）的轨道是","Cómo circular (0) a no circular (1) es la órbita","Как круговой (0) не круговой (1) орбита","Làm thế nào tròn (0) để không tròn (1) quỹ đạo là","どのように円形（0）には、（1）軌道が円形でありません","Slik sirkulær (0) til ikke sirkulært (1) bane er","방법 원형 (0) 내지 (1)가 궤도 순환하지","ఎలా వృత్తాకార (0) కాదు వృత్తాకార (1) లఘు కక్ష్య","कैसे परिपत्र (0) के लिए नहीं परिपत्र (1) की कक्षा है","كيف التعميم (0) ليست دائرية (1) المدار هو"
"Inclination","Inclination","Neigung","inclination","hældning","倾角","Inclinación","наклонение","xu hướng","傾斜","Tilbøyelighet","기울기","వంపుని","झुकाव","ميل"
